iter	Passed	Remaining
0	154	154360
1	155	77351
2	155	51670
3	156	38852
4	156	31181
5	157	26067
6	157	22400
7	158	19647
8	159	17520
9	159	15807
10	160	14409
11	160	13240
12	161	12253
13	161	11409
14	162	10683
15	163	10042
16	163	9474
17	164	8973
18	165	8522
19	165	8118
20	166	7751
21	166	7413
22	167	7108
23	167	6829
24	168	6573
25	169	6337
26	169	6118
27	170	5912
28	170	5723
29	171	5545
30	172	5380
31	172	5222
32	173	5071
33	173	4929
34	173	4795
35	174	4668
36	174	4548
37	175	4439
38	175	4336
39	176	4236
40	176	4139
41	177	4045
42	177	3958
43	178	3873
44	178	3795
45	179	3721
46	179	3646
47	180	3575
48	180	3509
49	181	3446
50	182	3389
51	182	3330
52	183	3271
53	183	3214
54	183	3160
55	184	3107
56	184	3057
57	185	3008
58	185	2962
59	186	2918
60	186	2873
61	187	2830
62	187	2791
63	188	2753
64	188	2714
65	189	2676
66	189	2639
67	190	2604
68	190	2569
69	190	2535
70	191	2502
71	191	2470
72	192	2439
73	192	2408
74	192	2379
75	193	2350
76	193	2323
77	194	2298
78	194	2272
79	195	2246
80	195	2222
81	196	2197
82	196	2170
83	196	2147
84	197	2124
85	197	2101
86	198	2079
87	198	2058
88	199	2037
89	199	2017
90	200	1999
91	200	1980
92	201	1961
93	201	1943
94	202	1925
95	202	1908
96	203	1890
97	203	1873
98	204	1856
99	204	1839
100	204	1823
101	205	1806
102	205	1791
103	206	1777
104	206	1762
105	207	1748
106	207	1734
107	208	1720
108	208	1707
109	209	1694
110	209	1680
111	210	1666
112	210	1653
113	211	1640
114	211	1627
115	211	1614
116	212	1601
117	212	1589
118	213	1579
119	213	1568
120	214	1556
121	214	1545
122	215	1534
123	215	1524
124	216	1514
125	216	1504
126	217	1493
127	217	1482
128	218	1473
129	218	1465
130	219	1456
131	220	1447
132	220	1437
133	220	1428
134	221	1419
135	221	1410
136	222	1401
137	222	1392
138	223	1384
139	224	1376
140	224	1367
141	224	1358
142	225	1350
143	226	1344
144	226	1336
145	227	1329
146	227	1321
147	228	1314
148	228	1307
149	229	1299
150	229	1292
151	230	1285
152	230	1278
153	231	1272
154	232	1265
155	232	1259
156	233	1252
157	233	1246
158	234	1240
159	235	1234
160	236	1230
161	236	1223
162	237	1217
163	237	1211
164	238	1205
165	238	1200
166	239	1194
167	240	1188
168	240	1182
169	241	1177
170	241	1171
171	242	1165
172	242	1159
173	243	1154
174	243	1148
175	244	1143
176	244	1138
177	245	1133
178	246	1128
179	246	1123
180	247	1117
181	247	1112
182	247	1107
183	248	1102
184	248	1096
185	249	1091
186	249	1085
187	250	1081
188	251	1077
189	251	1072
190	252	1067
191	252	1063
192	253	1058
193	253	1054
194	254	1049
195	254	1044
196	255	1040
197	255	1035
198	256	1031
199	256	1026
200	257	1022
201	257	1018
202	258	1013
203	258	1009
204	259	1004
205	259	1000
206	260	996
207	260	992
208	261	987
209	261	984
210	262	980
211	262	977
212	263	973
213	264	969
214	264	965
215	264	961
216	265	959
217	266	955
218	266	951
219	267	947
220	267	944
221	268	940
222	268	936
223	269	935
224	270	931
225	271	930
226	272	926
227	272	923
228	273	919
229	273	915
230	273	911
231	274	908
232	274	904
233	275	901
234	275	897
235	276	894
236	276	891
237	277	887
238	277	883
239	278	880
240	278	877
241	278	873
242	279	870
243	280	868
244	280	865
245	281	863
246	282	860
247	282	857
248	284	859
249	285	855
250	285	852
251	286	849
252	286	846
253	287	842
254	287	839
255	287	836
256	288	833
257	288	830
258	289	828
259	289	825
260	290	822
261	290	819
262	291	816
263	291	813
264	292	810
265	292	807
266	292	804
267	293	801
268	293	798
269	294	795
270	294	793
271	295	790
272	295	787
273	296	784
274	296	782
275	297	779
276	297	777
277	298	774
278	298	772
279	299	769
280	299	767
281	300	764
282	300	762
283	301	759
284	301	757
285	302	754
286	302	751
287	303	749
288	303	746
289	303	743
290	304	741
291	304	738
